No,Title,Category,Keywords,Description,Code,Language,Framework
1,Debounce Function,Performance,debounce delay throttle performance,"Delays function execution until after wait time","function debounce(func, wait) { let timeout; return (...args) => { clearTimeout(timeout); timeout = setTimeout(() => func(...args), wait); }; }",JavaScript,Any
2,Throttle Function,Performance,throttle limit rate performance,"Limits function execution to once per interval","function throttle(func, limit) { let inThrottle; return (...args) => { if (!inThrottle) { func(...args); inThrottle = true; setTimeout(() => inThrottle = false, limit); } }; }",JavaScript,Any
3,Deep Clone Object,Utilities,deep clone copy object immutable,"Creates deep copy of object","function deepClone(obj) { return JSON.parse(JSON.stringify(obj)); } // or structuredClone(obj)",JavaScript,Any
4,Async Retry Logic,Reliability,retry async promise error handling,"Retries async operation on failure","async function retry(fn, retries = 3) { try { return await fn(); } catch (err) { if (retries > 0) return retry(fn, retries - 1); throw err; } }",JavaScript,Any
5,Local Storage Hook,React,local storage hook state persist,"React hook for persistent state","function useLocalStorage(key, initial) { const [value, setValue] = useState(() => { const stored = localStorage.getItem(key); return stored ? JSON.parse(stored) : initial; }); useEffect(() => { localStorage.setItem(key, JSON.stringify(value)); }, [key, value]); return [value, setValue]; }",JavaScript,React
6,Fetch with Timeout,API,fetch timeout abort api request,"Fetch with automatic timeout","async function fetchWithTimeout(url, timeout = 5000) { const controller = new AbortController(); const id = setTimeout(() => controller.abort(), timeout); const response = await fetch(url, { signal: controller.signal }); clearTimeout(id); return response; }",JavaScript,Any
7,Format Currency,Formatting,format currency money number,"Formats number as currency","function formatCurrency(amount, locale = 'en-US', currency = 'USD') { return new Intl.NumberFormat(locale, { style: 'currency', currency }).format(amount); }",JavaScript,Any
8,Validate Email,Validation,email validation regex,"Validates email format","function isValidEmail(email) { return /^[^\s@]+@[^\s@]+\.[^\s@]+$/.test(email); }",JavaScript,Any
9,Generate UUID,Utilities,uuid unique id generator,"Generates unique identifier","function generateUUID() { return 'xxxxxxxx-xxxx-4xxx-yxxx-xxxxxxxxxxxx'.replace(/[xy]/g, c => { const r = Math.random() * 16 | 0; return (c === 'x' ? r : (r & 0x3 | 0x8)).toString(16); }); }",JavaScript,Any
10,Intersection Observer,Performance,intersection observer lazy load viewport,"Detects when element enters viewport","const observer = new IntersectionObserver((entries) => { entries.forEach(entry => { if (entry.isIntersecting) { /* load content */ } }); }); observer.observe(element);",JavaScript,Any
11,Custom Event Emitter,Events,event emitter pub sub observer,"Simple event emitter pattern","class EventEmitter { events = {}; on(event, listener) { (this.events[event] ||= []).push(listener); } emit(event, data) { this.events[event]?.forEach(listener => listener(data)); } }",JavaScript,Any
12,Sleep Function,Utilities,sleep delay wait promise,"Async sleep utility","const sleep = (ms) => new Promise(resolve => setTimeout(resolve, ms));",JavaScript,Any
13,Capitalize String,Formatting,capitalize string format text,"Capitalizes first letter of string","function capitalize(str) { return str.charAt(0).toUpperCase() + str.slice(1).toLowerCase(); }",JavaScript,Any
14,Group Array By Key,Data Processing,group by array reduce aggregate,"Groups array of objects by key","function groupBy(arr, key) { return arr.reduce((acc, obj) => { (acc[obj[key]] ||= []).push(obj); return acc; }, {}); }",JavaScript,Any
15,Remove Duplicates,Data Processing,unique duplicates array set,"Removes duplicate values from array","const unique = (arr) => [...new Set(arr)];",JavaScript,Any


